Gender;Country;Country_other;Age;Family;Kids;SchoolLevel;work;LE1[SQ001];LE1[SQ002];LE1[SQ003];LE1[SQ004];LE2;LE3;LE4;LE5;LE6;B1;B2[SQ001];B2[SQ002];B2[SQ003];B2[SQ004];B2[SQ005];B2[SQ006];B3[SQ001];B3[SQ002];B3[SQ003];B3[SQ004];B3[SQ005];B4[SQ001];B4[SQ002];B4[SQ003];B4[SQ004];B4[SQ005];B4[SQ006];B4[SQ007];B4[SQ008];B5;B6;FU0
Masculino;Otro;Brasil;1967;vivo en pareja;1;Diplomado;asalariado;Completamente;Completamente;Completamente;Completamente;Durante el curso;Si;20;Navegado y descargado los materiales educativos;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;Grupo de mutirão de limpieza de la orilla marina.;
Femenino;Otro;Brasil;1991;vivo con mis padres;0;Universitario;desempleado y en búsqueda de empleo;6;Completamente;Completamente;Completamente;Antes de comenzar el curso;Si;240;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Muy importante;Muy importante;Importante;Importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Importante;Importante;Importante;Sí;Quiero aplicar el proyecto final que he realizado para la tarea final Experto. Tengo la intención de hacer un master sobre la basura marina y contribuir para soluciones acerca de este problema.;Estoy muy contenta de haber adquirido más conocimientos sobre la basura marina y me siento más motivada para dedicarme y trabajar con esta cuestión. Me parece de extrema importancia la divulgación de este tema a través de este curso y tengo la esperanza de que juntos y con buena voluntad encontraremos soluciones para mejorar el medio en que vivimos. Gracias por esta oportunidad.
Masculino;Argentina;;1959;vivo en pareja;1;Universitario;asalariado;5;5;6;6;Durante el curso;Si, pero decidí invertir menos tiempo;50;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importancia moderada;Importante;De poca importancia;Sí;CAMPAÑAS EN LAS ISALS BALEARES. VOLUNTARIOS Y PROFESIONALES.;
Femenino;Ecuador;;1986;vivo en pareja;0;Master;asalariado;6;5;5;5;Durante el curso;No tuve suficiente tiempo;20;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado y descargado los materiales;;De acuerdo;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Muy importante;Muy importante;Muy importante;Importante;Importante;Importante;Importante;Importancia moderada;Sí;Soy docente Universitaria y he incentivado a mis alumnos a presentar proyectos para reducir la basura marina.;Algunas preguntas de los ejercicios estaban mal formuladas o la respuesta que se indicaba como correcta, no lo era. Para el envio de trabajos indicar que es hora local de ese país ya que en mi caso cumplí con las tareas pero era el horario local de mi país. La tareas deberían vencer cuando el curso finalice y no antes. Se podría mantener la informacion en la plataforma luego de finalizado el curso. Podrian crear un formato de descarga online en pdf de todo el curso,ya que la descarga del material en realidad a mi me consto mucho trabajo ir de pagina en pagina cortando la informacion y pegando en word para tenerla completa. Del resto todo muy bien, excelente trabajo.
Femenino;España;;1983;vivo con compañeros de piso;0;Master;asalariado;Completamente;Completamente;Completamente;Completamente;Al comenzar el curso.;Si;25;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;Recogida de basura y algún proyecto ;El curso me ha encantado, por su estructura, contenido, expertos, trabajos a realizar, vídeos....Me encanta la naturaleza y el mar. Cualquier curso como éste vale muchísimo la pena.
Masculino;Otro;Portugal;1981;vivo en pareja;1;Universitario;asalariado;6;6;6;6;Antes de comenzar el curso;Si;4;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Muy importante;Importante;Importancia moderada;Muy importante;Muy importante;De acuerdo;De acuerdo;Neutral;Totalmente de acuerdo;De acuerdo;Muy importante;Muy importante;Muy importante;Importancia moderada;Importante;Importante;Importancia moderada;Importancia moderada;Sí;voy a iniciar el combate a los plásticos en los festivales;
Masculino;Ecuador;;1976;vivo en pareja;2;Master;asalariado;5;6;5;6;Durante el curso;Si, pero decidí invertir menos tiempo;45;Participado en todas las actividades de algunos módulos, he navegado y descargado los materiales;5;Totalmente en desacuerdo;Importante;Importancia moderada;Muy importante;Muy importante;Muy importante;Importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Sí;Hemos realizado campañas semestrales permanentes para combatir la limpieza;Se debería complementar las acciones entre todos para que tenga el impacto que queremos ver.
Femenino;Colombia;;1993;vivo con mis padres;0;Universitario;desempleado y en búsqueda de empleo;6;Completamente;Completamente;6;Durante el curso;No tuve suficiente tiempo;48;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;5;De acuerdo;Muy importante;Importante;Muy importante;Muy importante;Muy importante;Importante;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Muy importante;Muy importante;Importante;Muy importante;Importante;Muy importante;Muy importante;Sí;Compartir los nuevos conocimientos con un gran número de personas, disminuir la utilización de plastico;ha sido un bombardeo de conocimientos muy útiles y humanizantes 
Masculino;Uruguay;;1991;vivo con mis padres;0;Estudios medios;autónomo;Completamente;6;Completamente;Completamente;Al comenzar el curso.;Si;48;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Importancia moderada;Muy importante;Importante;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Importante;Importante;Muy importante;Sí;Asesorar al Municipio de Piriapolis (Uruguay) y al Alcalde de esa ciudad a tomar acciones para mitigar los costes de la contaminación marina en el lugar y los balnearios aledaños.  Crear y apoyar movimientos de limpieza costera junto a organizaciones no gubernamentales e instituciones gubernamentales.;Sería oportuno poder colaborar con las cuentas del Mooc en las redes sociales. Especialmente Twitter donde está desactualizado y poder sumar instagram, las imágenes faltan mayor atención en las personas con el mensaje que quieran dar. Lo otro para mejorar sería los plazos. Mucha demora en entregar los certificados de Liderazgo. Después, el resto, todo es excelente. 
Femenino;España;;1989;vivo en pareja;0;Master;desempleado y en búsqueda de empleo;5;Completamente;Completamente;Completamente;Al comenzar el curso.;No tuve suficiente tiempo;200;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Importante;Sí;Organización de limpiezas de fondos y mejoras a la hora de formar buceadores.;
