Timestamp, Decibels, Group
"1429183824953","1.2808359797441196","Control"
"1429183826047","8.14215029825883","Control"
"1429183827081","19.67486384658166","Control"
"1429183828126","12.9498327764156","Control"
"1429183829171","0.31278268614350097","Control"
"1429183830215","-1.4191941885809691","Control"
"1429183831269","3.975177574006495","Control"
"1429183832311","18.635558910779245","Control"
"1429183833352","-5.569283355304798","Control"
"1429183834399","-2.9071328415902564","Control"
"1429183835443","-2.0964619128485094","Control"
"1429183836514","-1.886080756769256","Control"
"1429183837556","-10.15203606660574","Control"
"1429183838612","-1.4419519910447764","Control"
"1429183839660","10.916218237224001","Control"
"1429183840709","-0.6823836629720191","Control"
"1429183841761","-7.160241235441727","Control"
"1429183842812","-7.799421580015245","Control"
"1429183843861","16.334643338702854","Control"
"1429183844914","0.4939692059192814","Control"
"1429183845993","-2.5633541347699684","Control"
"1429183847043","4.6373174074776085","Control"
"1429183848092","8.78314371707554","Control"
"1429183849138","2.0786071176756638","Control"
"1429183850184","7.129016058080715","Control"
"1429183851233","0.7248868284929193","Control"
"1429183852283","6.21307965962302","Control"
"1429183853334","2.086200785335256","Control"
"1429183854381","6.121348727111904","Control"
"1429183855427","5.0803929128500025","Control"
"1429183856472","-5.140263333592147","Control"
"1429183857517","0.060908868570255445","Control"
"1429183858569","1.5460119778791075","Control"
"1429183859612","9.706014007648198","Control"
"1429183860654","5.435111641541811","Control"
"1429183861714","10.890547444856109","Control"
"1429183862763","-5.32238876067353","Control"
"1429183863810","-3.6678099559436133","Control"
"1429183864845","-3.5073607487317067","Control"
"1429183865892","0.727845741700912","Control"
"1429183866938","-4.162549821119795","Control"
"1429183868015","8.147188517447692","Control"
"1429183869060","6.6232951657602515","Control"
"1429183870111","13.064250275506875","Control"
"1429183871161","5.5121982403438174","Control"
"1429183872234","5.256050635484218","Control"
"1429183873286","-9.446447436757875","Control"
"1429183874330","9.682831951907785","Control"
"1429183875371","-5.655222187057879","Control"
"1429183876414","-8.24494947423829","Control"
"1429183877481","-8.540847807526895","Control"
"1429183878530","-5.06501023688711","Control"
"1429183879570","-7.658439212171656","Control"
"1429183880476","-6.843307947076768","Control"
"1429183881524","2.1038935682508564","Control"
"1429183882571","7.792508245141246","Control"
