Timestamp, Decibels, Group
"1429692044008","5.324285389842518","Control"
"1429692045109","2.1542466926757857","Control"
"1429692046137","15.902660643930634","Control"
"1429692047183","0.9527073502873971","Control"
"1429692048234","-0.5203480796655687","Control"
"1429692049276","17.077567965328555","Control"
"1429692050320","-6.654400766838608","Control"
"1429692051368","-3.801327540979883","Control"
"1429692052417","4.251642971781589","Control"
"1429692053469","-0.9689325814291267","Control"
"1429692054508","6.820625938460258","Control"
"1429692055551","11.803125999100907","Control"
"1429692056606","11.159940992345202","Control"
"1429692057656","1.7377377429902525","Control"
"1429692058716","-3.0522032641231664","Control"
"1429692059761","2.2664851628738023","Control"
"1429692060807","6.143579535395958","Control"
"1429692061858","-3.5073607487317067","Control"
"1429692062915","5.559820233508175","Control"
"1429692063950","-5.544884772862812","Control"
"1429692064993","-5.076545284582502","Control"
"1429692066050","-4.748095722796007","Control"
"1429692067117","-8.873949984654255","Control"
"1429692068167","-9.173963437857527","Control"
"1429692069214","4.858922495649798","Control"
"1429692070299","-2.3246689395077107","Control"
"1429692071353","-4.309239019099113","Control"
"1429692072394","-5.7420198079399345","Control"
"1429692073435","3.6812037745391315","Control"
"1429692074476","-3.781417183521127","Control"
"1429692075531","-8.776204926537034","Control"
"1429692076574","-2.628417282724405","Control"
"1429692077629","-6.744843366368518","Control"
"1429692078683","-3.952128023869536","Control"
"1429692079731","-0.8085731411121639","Control"
"1429692080771","-3.4497426957371187","Control"
"1429692081823","-7.375635598616484","Control"
"1429692082869","-12.934929430522239","Control"
"1429692083917","-15.093403090682415","Control"
"1429692084960","-9.619978195657286","Control"
"1429692086014","-8.670813668265238","Control"
"1429692087063","-8.09660999271381","Control"
"1429692088108","-3.061351121354268","Control"
"1429692089151","-1.0339146025066697","Control"
"1429692090194","-5.723347160896108","Control"
"1429692091274","1.253032211963128","Control"
"1429692093178","1.4376401461225072","Control"
"1429692094223","1.621075688837053","Control"
"1429692095268","-2.920630730302056","Control"
"1429692096315","-4.888148573871502","Control"
"1429692097356","1.0273387184191116","Control"
"1429692098396","-1.942222436495131","Control"
"1429692099449","-6.169856825891036","Control"
"1429692100487","0.08961203650907981","Control"
"1429692101537","1.3609672302657618","Control"
"1429692102595","-3.7714790936062155","Control"
"1429692103636","-4.209430298789362","Control"
"1429692104693","-5.88019305576509","Control"
"1429692105751","-3.866353220603838","Control"
"1429692106795","-6.510261795476875","Control"
"1429692107829","-3.3735083971458164","Control"
"1429692108875","0.4329725392493577","Control"
"1429692109916","-1.5220771726321771","Control"
"1429692110955","-5.569283355304798","Control"
"1429692112010","-4.528604836096849","Control"
"1429692113096","-7.323152722093508","Control"
"1429692114147","-5.334270964493811","Control"
"1429692115187","-2.9884366143632506","Control"
"1429692116227","-8.007189655909011","Control"
"1429692117276","-3.8362808663702843","Control"
"1429692118331","-2.777723409824065","Control"
"1429692119387","-3.1210481923435123","Control"
"1429692120435","-3.0476329458708835","Control"
"1429692121490","0.8278537031645015","Control"
"1429692122535","-2.8533500713746314","Control"
"1429692123588","3.8542393397339056","Control"
"1429692124628","-3.731840053273847","Control"
"1429692125673","-3.416307830440157","Control"
"1429692126715","-5.975678329985005","Control"
"1429692127768","-4.394187272116098","Control"
"1429692128823","-2.3372907237167144","Control"
"1429692129867","-14.290520817189256","Control"
"1429692130914","-2.1539845710177423","Control"
"1429692131972","-1.8462005689969625","Control"
"1429692133022","-4.8768608664504844","Control"
"1429692134085","-6.6474824951562","Control"
"1429692135129","-7.263558048256513","Control"
"1429692136172","1.9304760358743485","Control"
"1429692137247","-4.267074423492478","Control"
"1429692138292","-4.871222508811359","Control"
"1429692139332","-7.689571466425544","Control"
"1429692140386","-1.3700892240061415","Control"
"1429692141435","-1.0085860165657081","Control"
"1429692142487","-2.1251756237515966","Control"
"1429692143535","-4.079826437387021","Control"
"1429692144576","-7.1309464702762515","Control"
"1429692145615","-0.4658695654360364","Control"
"1429692146656","-3.4353977054607734","Control"
"1429692147705","-6.885851165049037","Control"
"1429692148735","-2.733542797590882","Control"
"1429692149786","-6.585464772943012","Control"
"1429692150832","-6.059289908823617","Control"
"1429692151872","-13.107788660592362","Control"
"1429692152912","-0.9258797565410517","Control"
"1429692153805","6.012553697198843","Control"
"1429692154874","1.8216093869466516","Control"
"1429692155927","-0.38142509671881686","Control"
"1429692156979","-1.2541010353352087","Control"
"1429692158034","-0.7242434530888942","Control"
"1429692159082","-3.931869379961417","Control"
"1429692160120","-2.076010079434187","Control"
"1429692161173","-5.263220346327127","Control"
"1429692162214","-5.649055420992617","Control"
"1429692163262","-8.70580219347424","Control"
"1429692164309","-0.9366229732947741","Control"
"1429692165354","-5.975678329985005","Control"
"1429692166402","-1.822360051821112","Control"
"1429692167450","-8.583954048049593","Control"
"1429692168492","-13.433918389387136","Control"
"1429692169549","-13.449037435220276","Control"
"1429692170590","-10.763140221982788","Control"
"1429692171658","-7.512065989425051","Control"
"1429692172704","-8.749736984355522","Control"
"1429692173742","-7.123638190805915","Control"
"1429692174794","-6.388589756526114","Control"
"1429692175838","-5.364047783639379","Control"
"1429692176906","-8.767373314552916","Control"
"1429692177942","-8.566685872107387","Control"
"1429692178997","-1.8820844881742311","Control"
"1429692180043","-6.942901548394971","Control"
"1429692181089","-3.7913666572757725","Control"
"1429692182134","-5.175216658982549","Control"
"1429692183178","-8.732136391427183","Control"
"1429692184225","-2.45598701195497","Control"
"1429692185277","-6.510261795476875","Control"
"1429692186319","-5.748252954700477","Control"
"1429692187363","-8.662088514705772","Control"
"1429692188415","-6.182957717723213","Control"
"1429692189458","-13.679039125451279","Control"
"1429692190507","-12.236396572342374","Control"
"1429692191560","-2.2493209906300082","Control"
"1429692192610","-10.277165092128813","Control"
"1429692193658","-5.478139920495232","Control"
"1429692194700","-13.883422429085002","Control"
"1429692195744","-13.525029955278322","Control"
"1429692196798","-12.197004715084283","Control"
"1429692197865","-11.079848365784265","Control"
"1429692198904","-11.432503959236808","Control"
"1429692199943","-11.13763892919042","Control"
"1429692200983","-13.648018058056518","Control"
"1429692202030","-18.416375079047505","Control"
"1429692203070","-9.05453631549026","Control"
"1429692204120","-6.476292688286021","Control"
"1429692205174","-10.920050882549507","Control"
"1429692206220","-12.585490125545093","Control"
"1429692207261","-11.432503959236808","Control"
"1429692208315","-10.2876743367721","Control"
"1429692209363","4.4908530804245546","Control"
"1429692210415","-3.8112998608331217","Control"
"1429692211464","-7.2784184276521335","Control"
"1429692212505","-1.499108742400121","Control"
"1429692213388","-0.2446891283402327","Control"
"1429692214433","-1.1763992679983402","Control"
"1429692215488","-7.000329127097096","Control"
"1429692216535","2.389516818135956","Control"
"1429692217589","0.4970078239800315","Control"
"1429692218659","-4.984691002119778","Control"
"1429692219706","-1.898080606209156","Control"
"1429692220745","-7.581093290233277","Control"
"1429692221791","-5.804553480764966","Control"
"1429692222824","-13.93127869140281","Control"
"1429692223870","-4.69270083071401","Control"
"1429692224920","-9.351518736268641","Control"
"1429692225968","-4.731440128741254","Control"
"1429692227014","-9.659015967607726","Control"
"1429692228071","-10.763140221982788","Control"
"1429692229120","-6.682129089311347","Control"
"1429692230176","-1.6767720832059563","Control"
"1429692231234","-8.236641592554637","Control"
"1429692232289","-8.88289068501965","Control"
"1429692233334","-7.1309464702762515","Control"
"1429692234374","-0.5923736384384901","Control"
"1429692235414","-6.28848235216463","Control"
"1429692236454","-4.90510768691564","Control"
"1429692237492","-4.69270083071401","Control"
"1429692238560","-7.116336055329131","Control"
"1429692239604","-7.512065989425051","Control"
"1429692240651","-5.612146485973566","Control"
"1429692241703","-8.236641592554637","Control"
"1429692242746","-11.408542869177872","Control"
"1429692243793","-13.343752635373132","Control"
"1429692244850","-6.668253863296746","Control"
"1429692245892","-1.6728709424989827","Control"
"1429692246944","-6.744843366368518","Control"
"1429692247990","-3.084263003903811","Control"
