IDREGISTRO,MINS_WAIT,ACTIVIDAD
3095,0,Refrigerado
3096,5,Refrigerado
3098,0,Refrigerado
3101,18,Refrigerado
3102,2,Refrigerado
3105,141,Refrigerado
3106,140,Refrigerado
3107,124,Refrigerado
3123,0,Refrigerado
3126,0,Refrigerado
3008,0,Refrigerado
3032,44,Refrigerado
3049,66,Congelado
3053,8,Refrigerado
3067,13,Refrigerado
3070,5,Congelado
3073,33,Congelado
3078,29,Congelado
3110,0,Refrigerado
3141,0,Refrigerado
3150,0,Refrigerado
3153,0,Refrigerado
3157,0,Refrigerado
3159,0,Refrigerado
3160,0,Refrigerado
3166,0,Congelado
3168,191,Fruta
3169,84,Refrigerado
3170,256,Refrigerado
3171,4,Refrigerado
3175,0,Refrigerado
3176,0,Refrigerado
3179,0,Refrigerado
3182,7,Refrigerado
3184,37,Fruta
3190,0,Refrigerado
3194,0,Refrigerado
3195,15,Refrigerado
3247,1,Refrigerado
3250,0,Refrigerado
3251,4,Refrigerado
3251,4,Refrigerado
3324,2,Refrigerado
3334,11,Refrigerado
3336,4,Fruta
3350,87,Congelado
3358,11,Refrigerado
3366,5,Refrigerado
3372,7,Refrigerado
3373,4,Refrigerado
3426,0,Refrigerado
3449,0,Refrigerado
3454,0,Refrigerado
3471,0,Refrigerado
3474,0,Refrigerado
3475,65,Fruta
3482,0,Refrigerado
3484,0,Congelado
3499,20,Fruta
3500,0,Refrigerado
3507,6,Fruta
3509,81,Congelado
3515,0,Refrigerado
3516,0,Refrigerado
3518,0,Refrigerado
3522,0,Refrigerado
3525,0,Refrigerado
3526,0,Refrigerado
3528,0,Refrigerado
3246,56,Refrigerado
3262,3,Refrigerado
3269,33,Refrigerado
3274,32,Refrigerado
3275,32,Fruta
3278,33,Fruta
3320,20,Fruta
3322,14,Congelado
3326,10,Fruta
3344,0,Refrigerado
3346,53,Congelado
3349,1,Fruta
3352,119,Congelado
3369,221,Refrigerado
3370,4,Refrigerado
3377,9,Refrigerado
3379,4,Refrigerado
3382,0,Refrigerado
3402,15,Refrigerado
3403,55,Refrigerado
3415,0,Refrigerado
3418,78,Refrigerado
3429,68,Refrigerado
3441,0,Refrigerado
3442,0,Refrigerado
3455,0,Refrigerado
3459,0,Refrigerado
3477,0,Refrigerado
3487,0,Refrigerado
3512,0,Refrigerado
3263,15,Fruta
3279,33,Fruta
3305,52,Congelado
3306,24,Fruta
3308,15,Fruta
3340,17,Congelado
3347,1,Fruta
3435,177,Refrigerado
3439,238,Congelado
3445,0,Refrigerado
3451,0,Refrigerado
3456,0,Refrigerado
3473,0,Refrigerado
3485,0,Refrigerado
3490,13,Refrigerado
3505,2,Refrigerado
3508,0,Refrigerado
3513,0,Refrigerado
3517,29,Congelado
3519,0,Refrigerado
3529,0,Refrigerado
3531,3,Refrigerado
3533,8,Refrigerado
3534,0,Refrigerado
3535,0,Refrigerado
3536,29,Congelado
3537,3,Refrigerado
3540,0,Congelado
3541,0,Refrigerado
3542,0,Refrigerado
3543,70,Refrigerado
3545,0,Congelado
3257,25,Fruta
3268,21,Refrigerado
3281,19,Congelado
3310,90,Congelado
3313,13,Refrigerado
3316,12,Fruta
3325,5,Refrigerado
3333,3,Fruta
3335,5,Refrigerado
3355,0,Fruta
3357,0,Fruta
3371,0,Refrigerado
3376,203,Refrigerado
3419,0,Congelado
3423,0,Refrigerado
3470,105,Fruta
3483,0,Refrigerado
3489,0,Refrigerado
3497,0,Refrigerado
3503,0,Refrigerado
3511,0,Refrigerado
3520,6,Refrigerado
3520,6,Refrigerado
3521,0,Refrigerado
3523,0,Refrigerado
3524,5,Refrigerado
3527,1,Refrigerado
3530,0,Refrigerado
3532,0,Congelado
3538,8,Fruta
3539,6,Fruta
3544,0,Refrigerado
3546,3,Refrigerado
3249,11,Fruta
3252,1,Refrigerado
3255,4,Refrigerado
3261,2,Fruta
3265,6,Congelado
3271,45,Congelado
3272,6,Fruta
3276,32,Refrigerado
3277,28,Refrigerado
3307,16,Refrigerado
3311,14,Fruta
3315,16,Fruta
3317,14,Fruta
3319,9,Fruta
3321,18,Fruta
3323,97,Congelado
3328,9,Fruta
3329,34,Congelado
3330,54,Congelado
3341,89,Congelado
3343,6,Fruta
3351,7,Congelado
3356,130,Congelado
3359,11,Refrigerado
3367,0,Congelado
3374,6,Refrigerado
3375,0,Refrigerado
3384,0,Refrigerado
3386,0,Refrigerado
3401,17,Refrigerado
3404,0,Refrigerado
3405,0,Refrigerado
3438,0,Refrigerado
3443,0,Refrigerado
3260,2,Fruta
3266,2,Refrigerado
3273,7,Fruta
3309,34,Congelado
3338,28,Congelado
3342,7,Fruta
3361,0,Congelado
3363,0,Refrigerado
3364,31,Refrigerado
3378,190,Refrigerado
3380,0,Refrigerado
3409,0,Congelado
3428,116,Refrigerado
3431,0,Congelado
3446,0,Refrigerado
3447,0,Refrigerado
3448,0,Refrigerado
3452,0,Refrigerado
3458,109,Fruta
3460,0,Refrigerado
3462,0,Refrigerado
3464,76,Congelado
3465,0,Refrigerado
3468,0,Refrigerado
3478,15,Refrigerado
3479,0,Refrigerado
3480,0,Refrigerado
3486,0,Refrigerado
3258,7,Refrigerado
3264,10,Refrigerado
3267,0,Refrigerado
3280,37,Refrigerado
3301,38,Fruta
3304,26,Refrigerado
3312,27,Congelado
3314,7,Fruta
3331,37,Refrigerado
3332,10,Refrigerado
3345,46,Congelado
3354,33,Refrigerado
3362,241,Refrigerado
3387,1,Refrigerado
3407,0,Refrigerado
3408,0,Refrigerado
3410,0,Refrigerado
3414,0,Refrigerado
3421,0,Refrigerado
3425,0,Refrigerado
3433,173,Refrigerado
3440,0,Refrigerado
3444,0,Refrigerado
3450,0,Congelado
3453,0,Refrigerado
3463,81,Congelado
3466,0,Refrigerado
3467,0,Refrigerado
3472,0,Refrigerado
3476,0,Refrigerado
3481,0,Refrigerado
3248,1,Refrigerado
3254,7,Congelado
3256,0,Congelado
3259,6,Refrigerado
3270,34,Refrigerado
3302,34,Refrigerado
3303,7,Congelado
3327,11,Fruta
3337,14,Fruta
3339,5,Congelado
3365,63,Refrigerado
3383,0,Refrigerado
3385,0,Refrigerado
3406,0,Refrigerado
3416,70,Refrigerado
3424,258,Refrigerado
3457,0,Refrigerado
3461,1,Congelado
3469,0,Congelado
3488,0,Congelado
3491,140,Refrigerado
3491,218,Refrigerado
3491,164,Refrigerado
3491,143,Refrigerado
3491,0,Refrigerado
3492,0,Congelado
3493,10,Refrigerado
3494,0,Refrigerado
3495,81,Congelado
3496,0,Congelado
3498,0,Congelado
3501,0,Refrigerado
3502,0,Refrigerado
3504,172,Refrigerado
3506,0,Refrigerado
3510,0,Congelado
3514,11,Fruta
3555,5,Refrigerado
3584,1,Congelado
3584,1,Congelado
3595,60,Congelado
3663,48,Congelado
3665,3,Refrigerado
3690,62,Refrigerado
3701,0,Refrigerado
3720,0,Refrigerado
3722,0,Refrigerado
