SEM_DIA_HORA,NUM,STATUS
258 / MIÉ / 19,7,2.-AE
258 / MIÉ / 20,1,2.-AE
258 / MIÉ / 20,2,1.-RG
258 / MIÉ / 21,4,2.-AE
258 / MIÉ / 21,6,1.-RG
258 / MIÉ / 22,7,1.-RG
258 / MIÉ / 22,7,2.-AE
258 / MIÉ / 23,6,2.-AE
258 / MIÉ / 23,8,1.-RG
259 / JUE / 00,6,2.-AE
259 / JUE / 00,8,1.-RG
259 / JUE / 01,1,3.-DN
259 / JUE / 01,4,2.-AE
259 / JUE / 01,7,1.-RG
259 / JUE / 02,1,3.-DN
259 / JUE / 02,22,1.-RG
259 / JUE / 02,22,2.-AE
259 / JUE / 03,27,1.-RG
259 / JUE / 03,27,2.-AE
259 / JUE / 04,39,1.-RG
259 / JUE / 04,43,2.-AE
259 / JUE / 05,28,1.-RG
259 / JUE / 05,28,2.-AE
259 / JUE / 06,2,3.-DN
259 / JUE / 06,24,1.-RG
259 / JUE / 06,26,2.-AE
259 / JUE / 07,15,1.-RG
259 / JUE / 07,15,2.-AE
259 / JUE / 08,16,2.-AE
259 / JUE / 08,19,1.-RG
259 / JUE / 09,14,1.-RG
259 / JUE / 09,14,2.-AE
259 / JUE / 10,8,1.-RG
259 / JUE / 10,11,2.-AE
259 / JUE / 11,4,1.-RG
259 / JUE / 11,6,2.-AE
259 / JUE / 12,5,1.-RG
259 / JUE / 12,6,2.-AE
259 / JUE / 13,5,1.-RG
259 / JUE / 13,6,2.-AE
259 / JUE / 14,7,2.-AE
259 / JUE / 14,8,1.-RG
259 / JUE / 15,3,3.-DN
259 / JUE / 15,11,2.-AE
259 / JUE / 15,12,1.-RG
259 / JUE / 16,2,3.-DN
259 / JUE / 16,6,1.-RG
259 / JUE / 16,6,2.-AE
259 / JUE / 17,2,2.-AE
259 / JUE / 17,2,3.-DN
259 / JUE / 17,4,1.-RG
259 / JUE / 18,2,1.-RG
259 / JUE / 18,3,3.-DN
259 / JUE / 18,8,2.-AE
259 / JUE / 19,6,3.-DN
259 / JUE / 19,7,2.-AE
259 / JUE / 19,8,1.-RG
259 / JUE / 20,2,3.-DN
259 / JUE / 20,5,1.-RG
259 / JUE / 20,6,2.-AE
259 / JUE / 21,2,2.-AE
259 / JUE / 21,4,1.-RG
259 / JUE / 22,7,2.-AE
259 / JUE / 22,10,1.-RG
259 / JUE / 23,1,3.-DN
259 / JUE / 23,9,2.-AE
259 / JUE / 23,10,1.-RG
260 / VIE / 00,1,3.-DN
260 / VIE / 00,6,1.-RG
260 / VIE / 00,6,2.-AE
260 / VIE / 01,1,3.-DN
260 / VIE / 01,9,2.-AE
260 / VIE / 01,11,1.-RG
260 / VIE / 02,1,3.-DN
260 / VIE / 02,23,2.-AE
260 / VIE / 02,27,1.-RG
260 / VIE / 03,25,2.-AE
260 / VIE / 03,31,1.-RG
260 / VIE / 04,46,1.-RG
260 / VIE / 04,52,2.-AE
260 / VIE / 05,29,1.-RG
260 / VIE / 05,36,2.-AE
260 / VIE / 06,3,3.-DN
260 / VIE / 06,14,2.-AE
260 / VIE / 06,17,1.-RG
260 / VIE / 07,7,3.-DN
260 / VIE / 07,14,1.-RG
260 / VIE / 07,17,2.-AE
260 / VIE / 08,7,3.-DN
260 / VIE / 08,10,2.-AE
260 / VIE / 08,12,1.-RG
260 / VIE / 09,10,1.-RG
260 / VIE / 09,13,3.-DN
260 / VIE / 09,17,2.-AE
260 / VIE / 10,6,3.-DN
260 / VIE / 10,10,1.-RG
260 / VIE / 10,10,2.-AE
260 / VIE / 11,4,3.-DN
260 / VIE / 11,8,2.-AE
260 / VIE / 11,10,1.-RG
260 / VIE / 12,2,3.-DN
260 / VIE / 12,5,1.-RG
260 / VIE / 12,8,2.-AE
260 / VIE / 13,3,3.-DN
260 / VIE / 13,6,1.-RG
260 / VIE / 13,7,2.-AE
260 / VIE / 14,2,2.-AE
260 / VIE / 14,5,1.-RG
260 / VIE / 15,4,3.-DN
260 / VIE / 15,6,1.-RG
260 / VIE / 15,10,2.-AE
260 / VIE / 16,4,3.-DN
260 / VIE / 16,9,2.-AE
260 / VIE / 16,12,1.-RG
260 / VIE / 17,3,3.-DN
260 / VIE / 17,7,2.-AE
260 / VIE / 17,9,1.-RG
260 / VIE / 18,2,3.-DN
260 / VIE / 18,5,1.-RG
260 / VIE / 18,8,2.-AE
260 / VIE / 19,2,3.-DN
260 / VIE / 19,5,1.-RG
260 / VIE / 19,5,2.-AE
260 / VIE / 20,1,3.-DN
260 / VIE / 20,3,1.-RG
260 / VIE / 20,4,2.-AE
260 / VIE / 21,4,1.-RG
260 / VIE / 21,4,2.-AE
260 / VIE / 22,5,2.-AE
260 / VIE / 22,8,1.-RG
260 / VIE / 23,1,3.-DN
260 / VIE / 23,6,2.-AE
260 / VIE / 23,9,1.-RG
261 / SÁB / 00,1,3.-DN
261 / SÁB / 00,6,1.-RG
261 / SÁB / 00,9,2.-AE
261 / SÁB / 01,9,2.-AE
261 / SÁB / 01,11,1.-RG
261 / SÁB / 02,18,2.-AE
261 / SÁB / 02,21,1.-RG
261 / SÁB / 03,34,1.-RG
261 / SÁB / 03,34,2.-AE
261 / SÁB / 04,40,1.-RG
261 / SÁB / 04,43,2.-AE
261 / SÁB / 05,22,1.-RG
261 / SÁB / 05,25,2.-AE
261 / SÁB / 06,3,3.-DN
261 / SÁB / 06,14,1.-RG
261 / SÁB / 06,16,2.-AE
261 / SÁB / 07,6,3.-DN
261 / SÁB / 07,13,1.-RG
261 / SÁB / 07,14,2.-AE
261 / SÁB / 08,4,3.-DN
261 / SÁB / 08,9,1.-RG
261 / SÁB / 08,10,2.-AE
261 / SÁB / 09,2,3.-DN
261 / SÁB / 09,6,2.-AE
261 / SÁB / 09,7,1.-RG
261 / SÁB / 10,1,3.-DN
261 / SÁB / 10,7,2.-AE
261 / SÁB / 10,7,1.-RG
261 / SÁB / 11,2,1.-RG
261 / SÁB / 11,3,2.-AE
261 / SÁB / 12,1,3.-DN
261 / SÁB / 12,4,2.-AE
261 / SÁB / 12,6,1.-RG
261 / SÁB / 13,2,2.-AE
261 / SÁB / 13,3,1.-RG
261 / SÁB / 14,1,3.-DN
261 / SÁB / 14,4,1.-RG
261 / SÁB / 14,6,2.-AE
261 / SÁB / 15,5,2.-AE
261 / SÁB / 15,6,1.-RG
261 / SÁB / 16,2,1.-RG
261 / SÁB / 17,3,2.-AE
261 / SÁB / 23,1,1.-RG
261 / SÁB / 23,1,2.-AE
261 / SÁB / 23,1,3.-DN
262 / DOM / 01,3,1.-RG
262 / DOM / 01,3,2.-AE
262 / DOM / 02,2,2.-AE
262 / DOM / 02,2,1.-RG
262 / DOM / 03,3,2.-AE
262 / DOM / 03,3,1.-RG
262 / DOM / 04,4,2.-AE
262 / DOM / 04,5,1.-RG
262 / DOM / 06,1,1.-RG
262 / DOM / 06,2,2.-AE
262 / DOM / 11,1,3.-DN
262 / DOM / 11,1,2.-AE
262 / DOM / 11,1,1.-RG
262 / DOM / 16,1,1.-RG
262 / DOM / 17,2,3.-DN
262 / DOM / 17,5,1.-RG
262 / DOM / 17,6,2.-AE
262 / DOM / 18,4,2.-AE
262 / DOM / 18,5,1.-RG
262 / DOM / 19,1,2.-AE
262 / DOM / 19,1,3.-DN
262 / DOM / 19,2,1.-RG
262 / DOM / 20,3,1.-RG
262 / DOM / 20,4,2.-AE
262 / DOM / 21,1,1.-RG
262 / DOM / 21,1,2.-AE
262 / DOM / 22,3,2.-AE
262 / DOM / 22,4,1.-RG
262 / DOM / 23,2,2.-AE
262 / DOM / 23,5,1.-RG
