aprendido;volumen;edad;sexo;utilidad;tag
1;7;15;F;;2015_4_29_13
1;6;15;M;;2015_4_29_13
1;7;15;M;;2015_4_29_13
1;7;14;M;;2015_4_29_13
2;6;15;F;;2015_4_29_13
5;6;16;M;;2015_4_29_13
2;7;14;M;;2015_4_29_13
1;7;15;F;;2015_4_29_13
6;7;14;M;;2015_4_29_13
2;5;15;F;;2015_4_29_13
1;6;15;M;;2015_4_29_13
4;7;14;M;;2015_4_29_13
3;6;15;F;;2015_4_29_13
3;5;15;M;;2015_4_29_13
7;5;15;M;;2015_4_29_13
4;5;15;F;;2015_4_29_13
2;7;14;M;;2015_4_29_13
4;7;15;M;;2015_4_29_13
3;6;14;M;;2015_4_29_13
1;6;16;F;;2015_4_29_13
3;5;14;M;;2015_4_29_13
1;7;15;M;;2015_4_29_13
