aprendido;volumen;edad;sexo;utilidad;tag
4;4;15;F;;2015_3_17_9
6;4;14;F;;2015_3_17_9
6;5;13;F;;2015_3_17_9
4;4;14;F;;2015_3_17_9
6;4;13;M;;2015_3_17_9
5;6;13;F;;2015_3_17_9
5;6;13;F;;2015_3_17_9
4;5;14;F;;2015_3_17_9
5;6;13;F;;2015_3_17_9
4;7;14;F;;2015_3_17_9
5;4;13;F;;2015_3_17_9
7;5;14;M;;2015_3_17_9
6;6;13;F;;2015_3_17_9
5;5;13;F;;2015_3_17_9
4;3;13;M;;2015_3_17_9
4;5;13;F;;2015_3_17_9
5;6;13;F;;2015_3_17_9
6;6;15;F;;2015_3_17_9
