timestamp, decibels, decibels_avg, tag
"1430393137664","-9.091108536418421","-21.818221707283683","2015_4_30_13"
"1430393138696","-13.694591304428172","-19.557139968169317","2015_4_30_13"
"1430393139750","-2.9161291030242715","-15.140365788774172","2015_4_30_13"
"1430393140812","-12.640464294108112","-12.668458647595795","2015_4_30_13"
"1430393141839","-14.37428125063552","-10.5433148977229","2015_4_30_13"
"1430393142880","-13.93127869140281","-11.511348928719777","2015_4_30_13"
"1430393143927","-12.157790699773726","-11.203988807788887","2015_4_30_13"
"1430393144993","-10.641811536827671","-12.749125294549568","2015_4_30_13"
"1430393146050","-7.870780271412908","-11.795188490010528","2015_4_30_13"
"1430393147097","-5.748252954700477","-10.06998283082352","2015_4_30_13"
"1430393148142","-14.61320094027936","-10.20636728059883","2015_4_30_13"
"1430393149192","-12.723583489531267","-10.319525838550337","2015_4_30_13"
"1430393150241","-13.804243306144047","-10.95201219241361","2015_4_30_13"
"1430393151286","-15.148435310497991","-12.407543200230629","2015_4_30_13"
"1430393152339","-13.586306326790975","-13.97515387464873","2015_4_30_13"
"1430393153382","-11.348927744022536","-13.322299235397363","2015_4_30_13"
"1430393154432","-13.915297289216149","-13.56064199533434","2015_4_30_13"
"1430393155479","-12.05407735247335","-13.210608804600199","2015_4_30_13"
"1430393156525","-14.56144772080652","-13.093211286661903","2015_4_30_13"
"1430393157579","-11.913463853331233","-12.758642791969956","2015_4_30_13"
"1430393158621","-13.851664113492363","-13.259190065863923","2015_4_30_13"
"1430393159680","-13.586306326790975","-13.19339187337889","2015_4_30_13"
"1430393160726","-14.770336897635145","-13.736643782411246","2015_4_30_13"
"1430393161776","-14.717641753375796","-13.7678825889251","2015_4_30_13"
"1430393162819","-14.076450142608618","-14.200479846780578","2015_4_30_13"
"1430393163860","-15.002450535668002","-14.430637131215708","2015_4_30_13"
"1430393164904","-12.585490125545093","-14.23047389096653","2015_4_30_13"
"1430393165992","-13.525029955278322","-13.981412502495166","2015_4_30_13"
"1430393167039","-9.89700043360188","-13.017284238540384","2015_4_30_13"
"1430393168082","-14.595915582061199","-13.1211773264309","2015_4_30_13"
"1430393169135","-8.24494947423829","-11.769677114144958","2015_4_30_13"
"1430393170181","-10.110723790684899","-11.274723847172918","2015_4_30_13"
"1430393171223","-13.82002149329487","-11.333722154776229","2015_4_30_13"
"1430393172272","-12.821572002514914","-11.918636468558834","2015_4_30_13"
"1430393173326","-16.308274250051724","-12.261108202156938","2015_4_30_13"
"1430393174373","-14.076450142608618","-13.427408335831004","2015_4_30_13"
"1430393175421","-14.273865223134504","-14.260036622320925","2015_4_30_13"
"1430393176464","-12.06697399870021","-13.909427123401993","2015_4_30_13"
"1430393177521","-12.409189669805738","-13.82695065686016","2015_4_30_13"
"1430393178564","-12.223246093466942","-13.009945025543203","2015_4_30_13"
"1430393179619","-10.818854907161462","-12.358425978453772","2015_4_30_13"
"1430393180663","-13.679039125451279","-12.239460758917128","2015_4_30_13"
"1430393181714","-7.642914829776114","-11.354648925132306","2015_4_30_13"
