aprendido;volumen;edad;sexo;utilidad;tag
6;6;17;M;7;2015_4_30_10
6;4;17;F;6;2015_4_30_10
5;3;17;M;7;2015_4_30_10
5;3;16;F;5;2015_4_30_10
6;3;16;M;6;2015_4_30_10
6;2;15;M;7;2015_4_30_10
4;2;16;M;7;2015_4_30_10
4;3;16;F;4;2015_4_30_10
4;2;17;F;6;2015_4_30_10
6;3;15;M;7;2015_4_30_10
6;3;15;F;7;2015_4_30_10
6;2;15;F;7;2015_4_30_10
