aprendido;volumen;edad;sexo;utilidad;tag
6;5;15;M;;2015_4_28_12
4;3;16;M;;2015_4_28_12
5;5;18;M;;2015_4_28_12
5;5;15;M;;2015_4_28_12
5;5;15;M;;2015_4_28_12
4;5;15;M;;2015_4_28_12
3;4;17;M;;2015_4_28_12
5;4;17;M;;2015_4_28_12
5;6;16;M;;2015_4_28_12
4;6;15;M;;2015_4_28_12
4;6;15;M;;2015_4_28_12
4;4;15;F;;2015_4_28_12
6;6;16;F;;2015_4_28_12
5;4;15;M;;2015_4_28_12
5;4;15;F;;2015_4_28_12
7;5;17;M;;2015_4_28_12
