aprendido;volumen;edad;sexo;utilidad;tag
4;4;17;M;;2015_3_16_10
5;4;16;M;;2015_3_16_10
6;7;15;F;;2015_3_16_10
4;5;16;F;;2015_3_16_10
4;5;15;M;;2015_3_16_10
5;1;16;M;;2015_3_16_10
6;2;15;F;;2015_3_16_10
6;4;15;M;;2015_3_16_10
5;4;17;M;;2015_3_16_10
