timestamp, decibels, decibels_avg, tag
"1430731910675","-10.63086523463782","-22.126173046927565","2015_5_4_11"
"1430731911762","-5.773230368427434","-18.280819120613053","2015_5_4_11"
"1430731912800","2.4528111370583123","-12.790256893201388","2015_5_4_11"
"1430731913851","-3.148739681169234","-8.420004829435236","2015_5_4_11"
"1430731914901","-3.6188752370018666","-4.143779876835609","2015_5_4_11"
"1430731915948","-9.56174854983366","-3.929956539874776","2015_5_4_11"
"1430731916998","-2.3036733053106935","-3.2360451272514283","2015_5_4_11"
"1430731918043","-3.5799249939817686","-4.442592353459444","2015_5_4_11"
"1430731919119","-4.436974992327127","-4.700239415691023","2015_5_4_11"
"1430731920159","-0.34787584821852036","-4.0460395379343534","2015_5_4_11"
"1430731921197","-0.09054620710958497","-2.151799069389539","2015_5_4_11"
"1430731922231","-9.475129541977841","-3.5860903167229687","2015_5_4_11"
"1430731923272","-5.950112779113051","-4.0601278737492255","2015_5_4_11"
"1430731924316","-2.99751752437812","-3.7722363801594243","2015_5_4_11"
"1430731925359","-4.447704937654676","-4.592202198046655","2015_5_4_11"
"1430731926399","-9.532779463598487","-6.480648849344436","2015_5_4_11"
"1430731927453","-5.8422909317476055","-5.754081127298389","2015_5_4_11"
"1430731928494","-4.698224449111964","-5.503703461298171","2015_5_4_11"
"1430731929548","-5.587627374030266","-6.0217254312286","2015_5_4_11"
"1430731930593","-4.2198826341518565","-5.976160970528037","2015_5_4_11"
"1430731931653","-3.9217577494386973","-4.853956627696078","2015_5_4_11"
"1430731932697","-6.163313782539772","-4.918161197854511","2015_5_4_11"
"1430731933739","-7.728644360196545","-5.524245180071428","2015_5_4_11"
"1430731934791","-7.752172743806157","-5.957154254026605","2015_5_4_11"
"1430731936680","-0.1394441949741957","-5.141066566191073","2015_5_4_11"
"1430731937734","1.7508961906485385","-4.006535778173626","2015_5_4_11"
"1430731938773","-1.4191941885809691","-3.0577118593818655","2015_5_4_11"
"1430731939817","-1.2355374684528595","-1.7590904810331285","2015_5_4_11"
"1430731940859","-6.248760226664213","-1.4584079776047398","2015_5_4_11"
"1430731941905","-7.870780271412908","-3.004675192892482","2015_5_4_11"
"1430731942941","-9.639475150281491","-5.282749461078488","2015_5_4_11"
"1430731943990","-7.196999181277964","-6.438310459617886","2015_5_4_11"
"1430731945039","-8.583954048049593","-7.907993775537234","2015_5_4_11"
"1430731946081","-9.600524907261391","-8.57834671165667","2015_5_4_11"
"1430731947121","-6.415481077194767","-8.287286872813041","2015_5_4_11"
"1430731948176","-6.523886723193114","-7.664169187395366","2015_5_4_11"
"1430731949223","-6.163313782539772","-7.457432107647728","2015_5_4_11"
"1430731950276","-2.5633541347699684","-6.253312124991802","2015_5_4_11"
"1430731951319","-6.571742985510919","-5.647555740641708","2015_5_4_11"
"1430731952370","-7.109040053524196","-5.7862675359075935","2015_5_4_11"
"1430731953416","-6.709946213608894","-5.82347943399075","2015_5_4_11"
"1430731954460","-5.766979278097844","-5.744212533102364","2015_5_4_11"
"1430731955513","-9.552081448515171","-7.141957995851405","2015_5_4_11"
"1430731956561","-10.874929276465025","-8.002595254042225","2015_5_4_11"
"1430731957609","-7.5044300419987","-8.081673251737126","2015_5_4_11"
"1430731958655","-9.9474120065549","-8.729166410326329","2015_5_4_11"
"1430731959696","-12.503675803502004","-10.07650571540716","2015_5_4_11"
"1430731960738","-10.78538322937014","-10.323166071578154","2015_5_4_11"
"1430731961779","-9.304440628399092","-10.009068341964968","2015_5_4_11"
"1430731962822","-6.751839653205151","-9.858550264206258","2015_5_4_11"
"1430731963873","-5.059248452504641","-8.880917553396205","2015_5_4_11"
"1430731964910","-8.785045527440754","-8.137191498183956","2015_5_4_11"
"1430731965949","-6.341729351948021","-7.248460722699532","2015_5_4_11"
"1430731966991","-5.0823185580672785","-6.404036308633169","2015_5_4_11"
"1430731968036","-7.966846389521534","-6.647037655896446","2015_5_4_11"
"1430731969091","-5.673748798357773","-6.769937725067072","2015_5_4_11"
"1430731970135","-7.466350675274112","-6.506198754633743","2015_5_4_11"
"1430731971182","-2.8712406845752247","-5.812101021159184","2015_5_4_11"
"1430731972243","-6.964392420318701","-6.188515793609469","2015_5_4_11"
"1430731973289","-6.744843366368518","-5.944115188978865","2015_5_4_11"
"1430731974336","-5.381962997219315","-5.885758028751174","2015_5_4_11"
"1430731975395","-5.417904660798997","-5.476068825856151","2015_5_4_11"
"1430731976447","-6.510261795476875","-6.203873048036481","2015_5_4_11"
"1430731977491","-4.888148573871502","-5.788624278747041","2015_5_4_11"
"1430731978541","-3.302641349381881","-5.100183875349714","2015_5_4_11"
"1430731979584","-5.263220346327127","-5.0764353451712765","2015_5_4_11"
"1430731980639","-8.618593733593373","-5.716573159730151","2015_5_4_11"
"1430731981723","-11.65118126214367","-6.744757053063511","2015_5_4_11"
"1430731982773","-10.350998235505413","-7.837326985390293","2015_5_4_11"
"1430731983816","-9.173963437857527","-9.011591403085422","2015_5_4_11"
"1430731984869","-6.978749265964308","-9.354697187012857","2015_5_4_11"
"1430731985916","-3.0705086231387972","-8.245080164921944","2015_5_4_11"
"1430731986958","-1.2096149476276294","-6.1567669020187346","2015_5_4_11"
"1430731988007","-4.095277179032597","-4.905622690724171","2015_5_4_11"
"1430731989055","-8.84718296920901","-4.840266596994468","2015_5_4_11"
"1430731990097","-6.388589756526114","-4.72223469510683","2015_5_4_11"
"1430731991139","-6.395304785571866","-5.387193927593444","2015_5_4_11"
"1430731992180","-4.748095722796007","-6.094890082627119","2015_5_4_11"
"1430731993223","-3.4497426957371187","-5.965783185968023","2015_5_4_11"
"1430731994280","-8.162226090505518","-5.828791810227324","2015_5_4_11"
"1430731995338","-9.313835858777612","-6.413841030677624","2015_5_4_11"
"1430731996204","-10.340412140790932","-7.2028625017214365","2015_5_4_11"
