aprendido;volumen;edad;sexo;utilidad;tag
5;1;13;M;4;2015_4_22_10
5;3;14;M;6;2015_4_22_10
5;3;13;M;5;2015_4_22_10
5;3;13;M;1;2015_4_22_10
7;4;13;F;7;2015_4_22_10
5;4;14;M;4;2015_4_22_10
6;2;13;M;6;2015_4_22_10
5;2;13;M;4;2015_4_22_10
6;5;14;M;1;2015_4_22_10
3;5;13;F;2;2015_4_22_10
4;4;13;F;5;2015_4_22_10
4;2;14;F;4;2015_4_22_10
5;3;14;F;7;2015_4_22_10
6;4;14;M;7;2015_4_22_10
4;5;13;F;6;2015_4_22_10
4;3;13;F;4;2015_4_22_10
4;4;13;F;2;2015_4_22_10
3;4;13;F;1;2015_4_22_10
4;4;14;F;6;2015_4_22_10
6;7;13;F;1;2015_4_22_10
3;3;14;F;2;2015_4_22_10
7;3;13;F;7;2015_4_22_10
