aprendido;volumen;edad;sexo;utilidad;tag
4;4;14;M;4;2015_5_4_11
4;4;13;M;1;2015_5_4_11
5;4;13;M;5;2015_5_4_11
5;6;14;F;6;2015_5_4_11
6;6;13;F;6;2015_5_4_11
4;4;13;F;5;2015_5_4_11
5;4;14;F;6;2015_5_4_11
4;3;15;F;4;2015_5_4_11
4;4;13;F;1;2015_5_4_11
5;7;15;M;7;2015_5_4_11
6;4;13;F;5;2015_5_4_11
5;3;14;M;3;2015_5_4_11
5;5;14;M;5;2015_5_4_11
3;6;13;F;4;2015_5_4_11
4;3;15;M;4;2015_5_4_11
4;4;13;F;4;2015_5_4_11
4;6;14;M;4;2015_5_4_11
4;4;14;M;6;2015_5_4_11
5;4;14;M;7;2015_5_4_11
