sensor;fecha;temperatura;tipo_temperatura;day;month;year;hour;minutes;time;total_minutos;diferencia
5077JTJ_1;05/02/2018 0:36;19;FRIO POSITIVO;5;2;2018;0;36;0:36;36;15
5077JTJ_1;05/02/2018 0:51;19;FRIO POSITIVO;5;2;2018;0;51;0:51;51;15
5077JTJ_1;05/02/2018 1:06;19;FRIO POSITIVO;5;2;2018;1;6;1:06;66;15
5077JTJ_1;05/02/2018 1:21;19;FRIO POSITIVO;5;2;2018;1;21;1:21;81;15
5077JTJ_1;05/02/2018 4:18;5;FRIO POSITIVO;5;2;2018;4;18;4:18;258;177
5077JTJ_1;05/02/2018 4:33;5;FRIO POSITIVO;5;2;2018;4;33;4:33;273;15
5077JTJ_1;05/02/2018 4:48;5;FRIO POSITIVO;5;2;2018;4;48;4:48;288;15
5077JTJ_1;05/02/2018 5:03;5;FRIO POSITIVO;5;2;2018;5;3;5:03;303;15
5077JTJ_1;05/02/2018 6:33;5;FRIO POSITIVO;5;2;2018;6;33;6:33;393;90
5077JTJ_1;05/02/2018 6:48;5;FRIO POSITIVO;5;2;2018;6;48;6:48;408;15
5077JTJ_1;05/02/2018 7:03;5;FRIO POSITIVO;5;2;2018;7;3;7:03;423;15
5077JTJ_1;05/02/2018 7:18;5;FRIO POSITIVO;5;2;2018;7;18;7:18;438;15
5077JTJ_1;05/02/2018 10:33;4;FRIO POSITIVO;5;2;2018;10;33;10:33;633;195
5077JTJ_1;05/02/2018 10:48;4;FRIO POSITIVO;5;2;2018;10;48;10:48;648;15
5077JTJ_1;05/02/2018 11:03;4;FRIO POSITIVO;5;2;2018;11;3;11:03;663;15
5077JTJ_1;05/02/2018 11:18;4;FRIO POSITIVO;5;2;2018;11;18;11:18;678;15
5077JTJ_1;05/02/2018 14:34;19;FRIO POSITIVO;5;2;2018;14;34;14:34;874;196
5077JTJ_1;05/02/2018 14:49;19;FRIO POSITIVO;5;2;2018;14;49;14:49;889;15
5077JTJ_1;05/02/2018 15:04;19;FRIO POSITIVO;5;2;2018;15;4;15:04;904;15
5077JTJ_1;05/02/2018 15:19;19;FRIO POSITIVO;5;2;2018;15;19;15:19;919;15
5077JTJ_1;05/02/2018 15:34;19;FRIO POSITIVO;5;2;2018;15;34;15:34;934;15
5077JTJ_1;05/02/2018 15:49;19;FRIO POSITIVO;5;2;2018;15;49;15:49;949;15
5077JTJ_1;05/02/2018 16:04;19;FRIO POSITIVO;5;2;2018;16;4;16:04;964;15
5077JTJ_1;05/02/2018 16:19;19;FRIO POSITIVO;5;2;2018;16;19;16:19;979;15
5077JTJ_1;05/02/2018 16:35;20;FRIO POSITIVO;5;2;2018;16;35;16:35;995;16
5077JTJ_1;05/02/2018 16:50;20;FRIO POSITIVO;5;2;2018;16;50;16:50;1010;15
5077JTJ_1;05/02/2018 17:05;19;FRIO POSITIVO;5;2;2018;17;5;17:05;1025;15
5077JTJ_1;05/02/2018 17:20;19;FRIO POSITIVO;5;2;2018;17;20;17:20;1040;15
5077JTJ_1;05/02/2018 17:35;20;FRIO POSITIVO;5;2;2018;17;35;17:35;1055;15
5077JTJ_1;05/02/2018 17:50;20;FRIO POSITIVO;5;2;2018;17;50;17:50;1070;15
5077JTJ_1;05/02/2018 18:05;20;FRIO POSITIVO;5;2;2018;18;5;18:05;1085;15
5077JTJ_1;05/02/2018 18:20;20;FRIO POSITIVO;5;2;2018;18;20;18:20;1100;15
5077JTJ_1;05/02/2018 18:35;19;FRIO POSITIVO;5;2;2018;18;35;18:35;1115;15
5077JTJ_1;05/02/2018 18:50;19;FRIO POSITIVO;5;2;2018;18;50;18:50;1130;15
5077JTJ_1;05/02/2018 19:05;19;FRIO POSITIVO;5;2;2018;19;5;19:05;1145;15
5077JTJ_1;05/02/2018 19:20;20;FRIO POSITIVO;5;2;2018;19;20;19:20;1160;15
5077JTJ_1;05/02/2018 19:35;18;FRIO POSITIVO;5;2;2018;19;35;19:35;1175;15
5077JTJ_1;05/02/2018 19:50;18;FRIO POSITIVO;5;2;2018;19;50;19:50;1190;15
5077JTJ_1;05/02/2018 20:05;18;FRIO POSITIVO;5;2;2018;20;5;20:05;1205;15
5077JTJ_1;05/02/2018 20:20;19;FRIO POSITIVO;5;2;2018;20;20;20:20;1220;15
5077JTJ_1;05/02/2018 20:35;17;FRIO POSITIVO;5;2;2018;20;35;20:35;1235;15
5077JTJ_1;05/02/2018 20:50;17;FRIO POSITIVO;5;2;2018;20;50;20:50;1250;15
5077JTJ_1;05/02/2018 21:05;17;FRIO POSITIVO;5;2;2018;21;5;21:05;1265;15
5077JTJ_1;05/02/2018 21:20;17;FRIO POSITIVO;5;2;2018;21;20;21:20;1280;15
5077JTJ_1;05/02/2018 21:35;17;FRIO POSITIVO;5;2;2018;21;35;21:35;1295;15
5077JTJ_1;05/02/2018 21:50;17;FRIO POSITIVO;5;2;2018;21;50;21:50;1310;15
5077JTJ_1;05/02/2018 22:05;17;FRIO POSITIVO;5;2;2018;22;5;22:05;1325;15
5077JTJ_1;05/02/2018 22:20;17;FRIO POSITIVO;5;2;2018;22;20;22:20;1340;15
5077JTJ_1;05/02/2018 23:45;20;FRIO POSITIVO;5;2;2018;23;45;23:45;1425;85
