sensor;fecha;temperatura;tipo_temperatura;day;month;year;hour;minutes;time;total_minutos;diferencia
5077JTJ_4;05/02/2018 1:08;19;CONGELADO;5;2;2018;1;8;1:08;68;15
5077JTJ_4;05/02/2018 1:23;19;CONGELADO;5;2;2018;1;23;1:23;83;15
5077JTJ_4;05/02/2018 1:38;19;CONGELADO;5;2;2018;1;38;1:38;98;15
5077JTJ_4;05/02/2018 1:53;19;CONGELADO;5;2;2018;1;53;1:53;113;15
5077JTJ_4;05/02/2018 6:20;-16;CONGELADO;5;2;2018;6;20;6:20;380;267
5077JTJ_4;05/02/2018 6:35;-16;CONGELADO;5;2;2018;6;35;6:35;395;15
5077JTJ_4;05/02/2018 6:50;-16;CONGELADO;5;2;2018;6;50;6:50;410;15
5077JTJ_4;05/02/2018 7:05;-16;CONGELADO;5;2;2018;7;5;7:05;425;15
5077JTJ_4;05/02/2018 10:26;-17;CONGELADO;5;2;2018;10;26;10:26;626;201
5077JTJ_4;05/02/2018 10:41;-17;CONGELADO;5;2;2018;10;41;10:41;641;15
5077JTJ_4;05/02/2018 10:56;-17;CONGELADO;5;2;2018;10;56;10:56;656;15
5077JTJ_4;05/02/2018 11:11;-17;CONGELADO;5;2;2018;11;11;11:11;671;15
5077JTJ_4;05/02/2018 11:18;-17;CONGELADO;5;2;2018;11;18;11:18;678;7
5077JTJ_4;05/02/2018 11:33;-17;CONGELADO;5;2;2018;11;33;11:33;693;15
5077JTJ_4;05/02/2018 11:48;-17;CONGELADO;5;2;2018;11;48;11:48;708;15
5077JTJ_4;05/02/2018 12:03;-17;CONGELADO;5;2;2018;12;3;12:03;723;15
5077JTJ_4;05/02/2018 13:01;19;CONGELADO;5;2;2018;13;1;13:01;781;58
5077JTJ_4;05/02/2018 13:16;19;CONGELADO;5;2;2018;13;16;13:16;796;15
5077JTJ_4;05/02/2018 13:31;19;CONGELADO;5;2;2018;13;31;13:31;811;15
5077JTJ_4;05/02/2018 13:46;20;CONGELADO;5;2;2018;13;46;13:46;826;15
5077JTJ_4;05/02/2018 13:58;18;CONGELADO;5;2;2018;13;58;13:58;838;12
5077JTJ_4;05/02/2018 14:13;18;CONGELADO;5;2;2018;14;13;14:13;853;15
5077JTJ_4;05/02/2018 14:28;18;CONGELADO;5;2;2018;14;28;14:28;868;15
5077JTJ_4;05/02/2018 14:43;18;CONGELADO;5;2;2018;14;43;14:43;883;15
5077JTJ_4;05/02/2018 14:55;18;CONGELADO;5;2;2018;14;55;14:55;895;12
5077JTJ_4;05/02/2018 15:10;18;CONGELADO;5;2;2018;15;10;15:10;910;15
5077JTJ_4;05/02/2018 15:25;18;CONGELADO;5;2;2018;15;25;15:25;925;15
5077JTJ_4;05/02/2018 15:40;18;CONGELADO;5;2;2018;15;40;15:40;940;15
5077JTJ_4;05/02/2018 15:53;19;CONGELADO;5;2;2018;15;53;15:53;953;13
5077JTJ_4;05/02/2018 16:08;19;CONGELADO;5;2;2018;16;8;16:08;968;15
5077JTJ_4;05/02/2018 16:23;19;CONGELADO;5;2;2018;16;23;16:23;983;15
5077JTJ_4;05/02/2018 16:38;19;CONGELADO;5;2;2018;16;38;16:38;998;15
5077JTJ_4;05/02/2018 16:50;20;CONGELADO;5;2;2018;16;50;16:50;1010;12
5077JTJ_4;05/02/2018 17:05;20;CONGELADO;5;2;2018;17;5;17:05;1025;15
5077JTJ_4;05/02/2018 17:20;19;CONGELADO;5;2;2018;17;20;17:20;1040;15
5077JTJ_4;05/02/2018 17:35;19;CONGELADO;5;2;2018;17;35;17:35;1055;15
5077JTJ_4;05/02/2018 17:47;21;CONGELADO;5;2;2018;17;47;17:47;1067;12
5077JTJ_4;05/02/2018 18:02;21;CONGELADO;5;2;2018;18;2;18:02;1082;15
5077JTJ_4;05/02/2018 18:17;20;CONGELADO;5;2;2018;18;17;18:17;1097;15
5077JTJ_4;05/02/2018 18:32;20;CONGELADO;5;2;2018;18;32;18:32;1112;15
5077JTJ_4;05/02/2018 19:16;19;CONGELADO;5;2;2018;19;16;19:16;1156;44
5077JTJ_4;05/02/2018 19:31;19;CONGELADO;5;2;2018;19;31;19:31;1171;15
5077JTJ_4;05/02/2018 19:46;19;CONGELADO;5;2;2018;19;46;19:46;1186;15
5077JTJ_4;05/02/2018 20:01;20;CONGELADO;5;2;2018;20;1;20:01;1201;15
5077JTJ_4;05/02/2018 20:12;18;CONGELADO;5;2;2018;20;12;20:12;1212;11
5077JTJ_4;05/02/2018 20:27;18;CONGELADO;5;2;2018;20;27;20:27;1227;15
5077JTJ_4;05/02/2018 20:42;18;CONGELADO;5;2;2018;20;42;20:42;1242;15
5077JTJ_4;05/02/2018 20:57;18;CONGELADO;5;2;2018;20;57;20:57;1257;15
5077JTJ_4;05/02/2018 21:08;17;CONGELADO;5;2;2018;21;8;21:08;1268;11
5077JTJ_4;05/02/2018 21:23;17;CONGELADO;5;2;2018;21;23;21:23;1283;15
5077JTJ_4;05/02/2018 21:38;17;CONGELADO;5;2;2018;21;38;21:38;1298;15
5077JTJ_4;05/02/2018 21:53;17;CONGELADO;5;2;2018;21;53;21:53;1313;15
5077JTJ_4;05/02/2018 22:47;19;CONGELADO;5;2;2018;22;47;22:47;1367;54
5077JTJ_4;05/02/2018 23:02;19;CONGELADO;5;2;2018;23;2;23:02;1382;15
5077JTJ_4;05/02/2018 23:17;19;CONGELADO;5;2;2018;23;17;23:17;1397;15
5077JTJ_4;05/02/2018 23:32;19;CONGELADO;5;2;2018;23;32;23:32;1412;15
5077JTJ_4;05/02/2018 23:44;21;CONGELADO;5;2;2018;23;44;23:44;1424;12
5077JTJ_4;05/02/2018 23:59;21;CONGELADO;5;2;2018;23;59;23:59;1439;15
