sensor;fecha;temperatura;tipo_temperatura;day;month;year;hour;minutes;time;total_minutos;diferencia
5077JTJ_2;05/02/2018 17:19;21;FRIO POSITIVO;5;2;2018;17;19;17:19;1039;14
5077JTJ_2;05/02/2018 17:34;20;FRIO POSITIVO;5;2;2018;17;34;17:34;1054;15
5077JTJ_2;05/02/2018 17:49;22;FRIO POSITIVO;5;2;2018;17;49;17:49;1069;15
5077JTJ_2;05/02/2018 18:04;22;FRIO POSITIVO;5;2;2018;18;4;18:04;1084;15
5077JTJ_2;05/02/2018 18:19;20;FRIO POSITIVO;5;2;2018;18;19;18:19;1099;15
5077JTJ_2;05/02/2018 18:34;20;FRIO POSITIVO;5;2;2018;18;34;18:34;1114;15
5077JTJ_2;05/02/2018 18:49;20;FRIO POSITIVO;5;2;2018;18;49;18:49;1129;15
5077JTJ_2;05/02/2018 19:04;20;FRIO POSITIVO;5;2;2018;19;4;19:04;1144;15
5077JTJ_2;05/02/2018 19:18;19;FRIO POSITIVO;5;2;2018;19;18;19:18;1158;14
5077JTJ_2;05/02/2018 19:33;20;FRIO POSITIVO;5;2;2018;19;33;19:33;1173;15
5077JTJ_2;05/02/2018 19:48;20;FRIO POSITIVO;5;2;2018;19;48;19:48;1188;15
5077JTJ_2;05/02/2018 20:03;20;FRIO POSITIVO;5;2;2018;20;3;20:03;1203;15
5077JTJ_2;05/02/2018 20:17;19;FRIO POSITIVO;5;2;2018;20;17;20:17;1217;14
5077JTJ_2;05/02/2018 20:32;19;FRIO POSITIVO;5;2;2018;20;32;20:32;1232;15
5077JTJ_2;05/02/2018 20:47;19;FRIO POSITIVO;5;2;2018;20;47;20:47;1247;15
5077JTJ_2;05/02/2018 21:02;19;FRIO POSITIVO;5;2;2018;21;2;21:02;1262;15
5077JTJ_2;05/02/2018 21:17;19;FRIO POSITIVO;5;2;2018;21;17;21:17;1277;15
5077JTJ_2;05/02/2018 21:32;19;FRIO POSITIVO;5;2;2018;21;32;21:32;1292;15
5077JTJ_2;05/02/2018 21:47;19;FRIO POSITIVO;5;2;2018;21;47;21:47;1307;15
5077JTJ_2;05/02/2018 22:02;19;FRIO POSITIVO;5;2;2018;22;2;22:02;1322;15
5077JTJ_2;05/02/2018 22:16;19;FRIO POSITIVO;5;2;2018;22;16;22:16;1336;14
5077JTJ_2;05/02/2018 22:31;19;FRIO POSITIVO;5;2;2018;22;31;22:31;1351;15
5077JTJ_2;05/02/2018 22:46;19;FRIO POSITIVO;5;2;2018;22;46;22:46;1366;15
5077JTJ_2;05/02/2018 23:01;19;FRIO POSITIVO;5;2;2018;23;1;23:01;1381;15
5077JTJ_2;05/02/2018 23:15;19;FRIO POSITIVO;5;2;2018;23;15;23:15;1395;14
5077JTJ_2;05/02/2018 23:30;19;FRIO POSITIVO;5;2;2018;23;30;23:30;1410;15
5077JTJ_2;05/02/2018 23:45;19;FRIO POSITIVO;5;2;2018;23;45;23:45;1425;15
