sensor;fecha;temperatura;tipo_temperatura;day;month;year;hour;minutes;time;total_minutos
5077JTJ_3;05/02/2018 7:20;-9;CONGELADO;5;2;2018;7;20;7:20;440
5077JTJ_3;05/02/2018 7:33;-8;CONGELADO;5;2;2018;7;33;7:33;453
5077JTJ_2;05/02/2018 7:35;16;FRIO POSITIVO;5;2;2018;7;35;7:35;455
5077JTJ_3;05/02/2018 7:48;-8;CONGELADO;5;2;2018;7;48;7:48;468
5077JTJ_2;05/02/2018 7:50;16;FRIO POSITIVO;5;2;2018;7;50;7:50;470
5077JTJ_3;05/02/2018 8:03;-3;CONGELADO;5;2;2018;8;3;8:03;483
5077JTJ_2;05/02/2018 8:05;16;FRIO POSITIVO;5;2;2018;8;5;8:05;485
5077JTJ_3;05/02/2018 8:18;-3;CONGELADO;5;2;2018;8;18;8:18;498
5077JTJ_3;05/02/2018 8:29;-5;CONGELADO;5;2;2018;8;29;8:29;509
5077JTJ_3;05/02/2018 8:44;-5;CONGELADO;5;2;2018;8;44;8:44;524
5077JTJ_3;05/02/2018 8:59;-7;CONGELADO;5;2;2018;8;59;8:59;539
5077JTJ_3;05/02/2018 9:14;-8;CONGELADO;5;2;2018;9;14;9:14;554
5077JTJ_2;05/02/2018 9:23;21;FRIO POSITIVO;5;2;2018;9;23;9:23;563
5077JTJ_2;05/02/2018 9:38;21;FRIO POSITIVO;5;2;2018;9;38;9:38;578
5077JTJ_2;05/02/2018 9:53;20;FRIO POSITIVO;5;2;2018;9;53;9:53;593
5077JTJ_2;05/02/2018 10:08;20;FRIO POSITIVO;5;2;2018;10;8;10:08;608
5077JTJ_2;05/02/2018 10:23;21;FRIO POSITIVO;5;2;2018;10;23;10:23;623
5077JTJ_4;05/02/2018 10:26;-17;CONGELADO;5;2;2018;10;26;10:26;626
5077JTJ_1;05/02/2018 10:33;4;FRIO POSITIVO;5;2;2018;10;33;10:33;633
5077JTJ_2;05/02/2018 10:38;21;FRIO POSITIVO;5;2;2018;10;38;10:38;638
5077JTJ_4;05/02/2018 10:41;-17;CONGELADO;5;2;2018;10;41;10:41;641
5077JTJ_3;05/02/2018 10:46;-8;CONGELADO;5;2;2018;10;46;10:46;646
5077JTJ_1;05/02/2018 10:48;4;FRIO POSITIVO;5;2;2018;10;48;10:48;648
5077JTJ_2;05/02/2018 10:53;21;FRIO POSITIVO;5;2;2018;10;53;10:53;653
5077JTJ_4;05/02/2018 10:56;-17;CONGELADO;5;2;2018;10;56;10:56;656
5077JTJ_3;05/02/2018 11:01;-8;CONGELADO;5;2;2018;11;1;11:01;661
5077JTJ_1;05/02/2018 11:03;4;FRIO POSITIVO;5;2;2018;11;3;11:03;663
5077JTJ_2;05/02/2018 11:08;21;FRIO POSITIVO;5;2;2018;11;8;11:08;668
5077JTJ_4;05/02/2018 11:11;-17;CONGELADO;5;2;2018;11;11;11:11;671
5077JTJ_3;05/02/2018 11:16;-3;CONGELADO;5;2;2018;11;16;11:16;676
5077JTJ_4;05/02/2018 11:18;-17;CONGELADO;5;2;2018;11;18;11:18;678
5077JTJ_1;05/02/2018 11:18;4;FRIO POSITIVO;5;2;2018;11;18;11:18;678
5077JTJ_2;05/02/2018 11:23;22;FRIO POSITIVO;5;2;2018;11;23;11:23;683
5077JTJ_3;05/02/2018 11:31;-3;CONGELADO;5;2;2018;11;31;11:31;691
5077JTJ_4;05/02/2018 11:33;-17;CONGELADO;5;2;2018;11;33;11:33;693
5077JTJ_2;05/02/2018 11:38;22;FRIO POSITIVO;5;2;2018;11;38;11:38;698
5077JTJ_3;05/02/2018 11:43;-4;CONGELADO;5;2;2018;11;43;11:43;703
5077JTJ_4;05/02/2018 11:48;-17;CONGELADO;5;2;2018;11;48;11:48;708
5077JTJ_2;05/02/2018 11:53;22;FRIO POSITIVO;5;2;2018;11;53;11:53;713
5077JTJ_3;05/02/2018 11:58;-4;CONGELADO;5;2;2018;11;58;11:58;718
5077JTJ_4;05/02/2018 12:03;-17;CONGELADO;5;2;2018;12;3;12:03;723
5077JTJ_2;05/02/2018 12:08;22;FRIO POSITIVO;5;2;2018;12;8;12:08;728
5077JTJ_3;05/02/2018 12:13;-6;CONGELADO;5;2;2018;12;13;12:13;733
5077JTJ_2;05/02/2018 12:22;22;FRIO POSITIVO;5;2;2018;12;22;12:22;742
5077JTJ_3;05/02/2018 12:28;-8;CONGELADO;5;2;2018;12;28;12:28;748
5077JTJ_2;05/02/2018 12:37;22;FRIO POSITIVO;5;2;2018;12;37;12:37;757
5077JTJ_2;05/02/2018 12:52;22;FRIO POSITIVO;5;2;2018;12;52;12:52;772
5077JTJ_4;05/02/2018 13:01;19;CONGELADO;5;2;2018;13;1;13:01;781
5077JTJ_2;05/02/2018 13:07;22;FRIO POSITIVO;5;2;2018;13;7;13:07;787
5077JTJ_4;05/02/2018 13:16;19;CONGELADO;5;2;2018;13;16;13:16;796
5077JTJ_2;05/02/2018 13:22;22;FRIO POSITIVO;5;2;2018;13;22;13:22;802
5077JTJ_4;05/02/2018 13:31;19;CONGELADO;5;2;2018;13;31;13:31;811
5077JTJ_2;05/02/2018 13:37;22;FRIO POSITIVO;5;2;2018;13;37;13:37;817
5077JTJ_4;05/02/2018 13:46;20;CONGELADO;5;2;2018;13;46;13:46;826
5077JTJ_2;05/02/2018 13:52;22;FRIO POSITIVO;5;2;2018;13;52;13:52;832
5077JTJ_3;05/02/2018 13:57;-9;CONGELADO;5;2;2018;13;57;13:57;837
5077JTJ_4;05/02/2018 13:58;18;CONGELADO;5;2;2018;13;58;13:58;838
5077JTJ_2;05/02/2018 14:07;22;FRIO POSITIVO;5;2;2018;14;7;14:07;847
5077JTJ_3;05/02/2018 14:12;-9;CONGELADO;5;2;2018;14;12;14:12;852
5077JTJ_4;05/02/2018 14:13;18;CONGELADO;5;2;2018;14;13;14:13;853
5077JTJ_3;05/02/2018 14:27;-5;CONGELADO;5;2;2018;14;27;14:27;867
5077JTJ_4;05/02/2018 14:28;18;CONGELADO;5;2;2018;14;28;14:28;868
5077JTJ_1;05/02/2018 14:34;19;FRIO POSITIVO;5;2;2018;14;34;14:34;874
5077JTJ_3;05/02/2018 14:42;-3;CONGELADO;5;2;2018;14;42;14:42;882
5077JTJ_4;05/02/2018 14:43;18;CONGELADO;5;2;2018;14;43;14:43;883
5077JTJ_1;05/02/2018 14:49;19;FRIO POSITIVO;5;2;2018;14;49;14:49;889
5077JTJ_3;05/02/2018 14:54;-4;CONGELADO;5;2;2018;14;54;14:54;894
5077JTJ_4;05/02/2018 14:55;18;CONGELADO;5;2;2018;14;55;14:55;895
5077JTJ_1;05/02/2018 15:04;19;FRIO POSITIVO;5;2;2018;15;4;15:04;904
5077JTJ_3;05/02/2018 15:09;-4;CONGELADO;5;2;2018;15;9;15:09;909
5077JTJ_4;05/02/2018 15:10;18;CONGELADO;5;2;2018;15;10;15:10;910
5077JTJ_1;05/02/2018 15:19;19;FRIO POSITIVO;5;2;2018;15;19;15:19;919
5077JTJ_2;05/02/2018 15:20;22;FRIO POSITIVO;5;2;2018;15;20;15:20;920
5077JTJ_3;05/02/2018 15:24;-5;CONGELADO;5;2;2018;15;24;15:24;924
5077JTJ_4;05/02/2018 15:25;18;CONGELADO;5;2;2018;15;25;15:25;925
5077JTJ_1;05/02/2018 15:34;19;FRIO POSITIVO;5;2;2018;15;34;15:34;934
5077JTJ_2;05/02/2018 15:35;22;FRIO POSITIVO;5;2;2018;15;35;15:35;935
5077JTJ_3;05/02/2018 15:39;-7;CONGELADO;5;2;2018;15;39;15:39;939
5077JTJ_4;05/02/2018 15:40;18;CONGELADO;5;2;2018;15;40;15:40;940
5077JTJ_1;05/02/2018 15:49;19;FRIO POSITIVO;5;2;2018;15;49;15:49;949
5077JTJ_2;05/02/2018 15:50;22;FRIO POSITIVO;5;2;2018;15;50;15:50;950
