DayWeek;Decibels
4;8.6653192077305
4;4.6392033893845
4;19.756303488041404
4;6.173659197850133
4;19.168091935579845
4;3.9036378973628407
4;1.443090971301748
4;5.3521248035406295
4;5.962500100411479
4;4.361369181652587
4;6.31318826585281
4;0.5273356817402213
4;3.5688801033943007
4;3.326628435330499
4;0.006431610540489213
4;1.23351648317328
4;7.293104103763239
4;3.5646129013246535
4;0.5121849895366128
4;0.87742916890282
4;1.4974119090627718
4;-2.615365605380476
4;-1.7788216667356218
4;19.540237939541772
4;2.9271552070006726
4;13.53116272054584
4;1.3113176782845526
4;1.2251391576840907
4;3.6474475420576797
4;11.655571947720368
4;4.0763656899456056
4;9.204588803799556
4;0.8307777528935354
4;-2.4816343425128258
4;-3.383001173651408
4;-5.227911803241897
4;-1.198528935097729
4;-3.4881122319611095
4;-2.2326653965752556
4;2.760202909121171
4;0.2191838317317436
4;-1.012199867101744
4;-3.084263003903811
4;-9.484711329643485
4;-6.892962004282096
4;6.3581728827886606
4;-9.02720785150482
4;-7.241315040869161
4;-10.52215430821072
4;-2.4816343425128258
4;4.671202585581889
4;0.4848469684575904
4;-5.854906605189896
4;-3.9622750923577414
4;-2.715933283930165
4;-7.072651690131906
4;-1.6963041122102676
4;-0.3982484404209967
4;-3.5799249939817686
4;-6.551200864060609
4;-0.45569277500639627
4;-2.383728154384173
4;-3.002061542079489
4;-6.072224966520281
4;7.366426535002262
4;6.879107153409806
4;-6.4222169361116865
4;-9.826912183026481
4;-8.353681337355894
4;-8.909768137011874
4;-8.644664457432324
4;-1.7551651210963106
4;-1.1616774176298263
4;-6.078699726147768
4;-6.23555978394407
4;-9.513520276909631
4;-1.6145631180006585
4;-1.4571570533750413
4;-3.4737037857960558
4;-4.996119805924018
4;-3.302641349381881
4;1.9382002601611283
4;0.733760545905007
4;-2.559033871244907
4;-3.5653635661991157
4;-4.539448644793752
4;-5.292754171578712
4;-1.2096149476276294
4;-4.235584758894651
4;-6.415481077194767
4;-4.512364464326503
4;-9.146257227322199
4;-9.907059368875554
4;-8.421276150383507
4;-8.362101977509415
4;-9.50390667367248
4;-10.141689561942114
4;-0.054861829740965706
4;-0.31445568525665957
4;-0.4489148662441503
4;2.293702044854939
4;-3.185799533179547
4;-5.257325612719093
4;-1.4305656363819867
4;-1.2170134912078945
4;2.1592659876077542
4;-6.476292688286021
4;-5.6799331273040154
4;-3.4977311583462116
4;0.2129078996392936
4;-9.164718211185773
4;-9.907059368875554
4;-8.558064640989615
4;-6.23555978394407
4;-5.146079128679237
4;-6.907201170812107
4;-3.1072354839387426
4;1.7271966134949643
4;4.884625844555179
4;2.164282383726434
4;5.5360418739310555
4;-2.4602563114452307
4;0.03851842072076893
4;4.343827830073667
4;0.35611936012427214
4;-0.523764358819959
4;6.01577307812453
4;-3.3167685787982695
