tag,utilidad
2015_3_17_12,5.75
2015_4_22_10,4.18181818181818
2015_4_22_13,3.22727272727273
2015_4_29_8,5.27272727272727
2015_4_30_10,6.33333333333333
2015_4_30_13,5.33333333333333
2015_4_30_9,4.22222222222222
2015_5_4_11,4.57894736842105
2015_5_4_13,4.75
2015_5_4_9,4.55
2015_5_5_12,4.90909090909091
2015_5_8_11,4.95238095238095
2015_5_8_9,6.0625
