tag, aprendido, volumen, utilidad, grupo
2015_5_4_11,4,4,6,2A
2015_5_8_9,4,5,5,2B
2015_5_8_11,4,4,6,2CDBil
2015_5_4_9,6,3,5,2EF
2015_4_29_10,4,4,6,2EFBil
2015_4_30_13,5,2,5,3A
2015_4_30_9,5,3,5,3B
2015_4_29_13,4,5,3,3C
2015_4_29_8,5,4,6,3D
2015_4_30_10,6,2,5,3DIV
2015_5_5_12,4,4,5,4
2015_5_4_13,4,4,2,4DIV
2015_5_8_13,4,3,6,BT1
