timestamp, decibels, tag
"1429168960722","8.6653192077305","3B_AS_0"
"1429168961810","4.6392033893845","3B_AS_0"
"1429168962865","19.756303488041404","3B_AS_0"
"1429168963903","6.173659197850133","3B_AS_0"
"1429168964961","19.168091935579845","3B_AS_0"
"1429168966009","3.9036378973628407","3B_AS_0"
"1429168967064","1.443090971301748","3B_AS_0"
"1429168968116","5.3521248035406295","3B_AS_0"
"1429168969160","5.962500100411479","3B_AS_0"
"1429168970200","4.361369181652587","3B_AS_0"
"1429168971243","6.31318826585281","3B_AS_0"
"1429168972281","0.5273356817402213","3B_AS_0"
"1429168978564","3.5688801033943007","3B_AS_0"
"1429168979604","3.326628435330499","3B_AS_0"
"1429168980648","0.006431610540489213","3B_AS_0"
"1429168981697","1.23351648317328","3B_AS_0"
"1429168982767","7.293104103763239","3B_AS_0"
"1429168983824","3.5646129013246535","3B_AS_0"
"1429168984869","0.5121849895366128","3B_AS_0"
"1429168985921","0.87742916890282","3B_AS_0"
"1429168986965","1.4974119090627718","3B_AS_0"
"1429168988025","-2.615365605380476","3B_AS_0"
"1429168989077","-1.7788216667356218","3B_AS_0"
"1429168990119","19.540237939541772","3B_AS_0"
"1429168991158","2.9271552070006726","3B_AS_0"
"1429168992201","13.53116272054584","3B_AS_0"
"1429168993244","1.3113176782845526","3B_AS_0"
"1429168994297","1.2251391576840907","3B_AS_0"
"1429168995345","3.6474475420576797","3B_AS_0"
"1429168998062","11.655571947720368","3B_AS_0"
"1429168999110","4.0763656899456056","3B_AS_0"
"1429169002205","9.204588803799556","3B_AS_0"
"1429169003249","0.8307777528935354","3B_AS_0"
"1429169004294","-2.4816343425128258","3B_AS_0"
"1429169005345","-3.383001173651408","3B_AS_0"
"1429169006388","-5.227911803241897","3B_AS_0"
"1429169007434","-1.198528935097729","3B_AS_0"
"1429169008484","-3.4881122319611095","3B_AS_0"
"1429169009526","-2.2326653965752556","3B_AS_0"
"1429169010574","2.760202909121171","3B_AS_0"
"1429169011619","0.2191838317317436","3B_AS_0"
"1429169012661","-1.012199867101744","3B_AS_0"
"1429169013707","-3.084263003903811","3B_AS_0"
"1429169038584","-9.484711329643485","3B_AS_0"
"1429169039641","-6.892962004282096","3B_AS_0"
"1429169040701","6.3581728827886606","3B_AS_0"
"1429169041752","-9.02720785150482","3B_AS_0"
"1429169042801","-7.241315040869161","3B_AS_0"
"1429169043842","-10.52215430821072","3B_AS_0"
"1429169044889","-2.4816343425128258","3B_AS_0"
"1429169045940","4.671202585581889","3B_AS_0"
"1429169046983","0.4848469684575904","3B_AS_0"
"1429169048033","-5.854906605189896","3B_AS_0"
