"id","group","decibels"
"1","2A",-4.70731855312371
"2","2B",-2.71550673622442
"3","2CDBil",-6.32790773740459
"4","2EF",-2.04798551806772
"5","2EFBil",-5.5924983238029
"6","3A",-7.32703128930541
"7","3B",-3.30080134780054
"8","3C",2.13487363884453
"9","3D",-9.54363286024097
"10","3DIV",-2.17881766690837
"11","4",-0.46529961214718
"12","4DIV",0.840783775985782
"13","BT1",-4.11555029949375
