Difference, Gender, Age
"0.2321846283616278","M","17"
"0.2321846283616278","M","16"
"3.232184628361628","F","15"
"1.2321846283616278","F","16"
"1.2321846283616278","M","15"
"-2.767815371638372","M","16"
"-1.7678153716383722","F","15"
"0.2321846283616278","M","15"
"0.2321846283616278","M","17"
"1.1616720308196005","M","15"
"1.1616720308196005","F","14"
"2.1616720308196005","F","15"
"3.1616720308196005","F","15"
"3.1616720308196005","F","15"
"2.5474127840729985","F","15"
"1.5474127840729985","F","14"
"2.5474127840729985","M","14"
"1.5474127840729985","M","16"
"2.5474127840729985","M","16"
"-0.45258721592700146","M","15"
"-1.4525872159270015","M","16"
"0.5474127840729985","M","14"
"1.5474127840729985","M","15"
"0.5474127840729985","M","14"
"0.5474127840729985","F","15"
"2.5474127840729985","F","14"
"2.5474127840729985","F","14"
"3.5474127840729985","F","14"
"2.5474127840729985","F","15"
"0.5474127840729985","M","15"
"-0.45258721592700146","M","16"
"-0.45258721592700146","M","15"
"0.9855680698472149","M","14"
"0.9855680698472149","F","13"
"0.9855680698472149","F","13"
"-0.0144319301527851","F","14"
"0.9855680698472149","F","13"
"1.985568069847215","F","14"
"-0.0144319301527851","F","14"
"2.985568069847215","F","13"
"0.9855680698472149","F","13"
"-0.0144319301527851","F","13"
"0.1742835536981695","M","17"
"0.1742835536981695","M","18"
"-1.8257164463018305","F","16"
"-0.8257164463018305","F","16"
"-0.8257164463018305","F","16"
"-1.8257164463018305","M","16"
"-1.8257164463018305","M","16"
"-1.8257164463018305","M","18"
"-0.3038139287056625","F","15"
"-0.3038139287056625","F","14"
"0.6961860712943375","F","13"
"-0.3038139287056625","F","14"
"-0.3038139287056625","M","13"
"1.6961860712943375","F","13"
"1.6961860712943375","F","13"
"0.6961860712943375","F","14"
"1.6961860712943375","F","13"
"2.6961860712943375","F","14"
"-0.3038139287056625","F","13"
"0.6961860712943375","M","14"
"1.6961860712943375","F","13"
"0.6961860712943375","F","13"
"-1.3038139287056625","M","13"
"0.6961860712943375","F","13"
"1.6961860712943375","F","13"
"1.6961860712943375","F","15"
"0.5929354666033673","M","13"
"-0.40706453339663273","F","15"
"0.5929354666033673","F","14"
"0.5929354666033673","F","13"
"0.5929354666033673","F","13"
"0.5929354666033673","M","14"
"-0.40706453339663273","F","13"
"-1.4070645333966327","F","14"
"-1.4070645333966327","M","15"
"-1.4070645333966327","M","14"
